gene,TE
aaeA,NA
aaeB,0.22
aaeR,0.73
aaeX,NA
aas,0.56
aat,0.37
abgA,NA
abgB,NA
abgR,NA
abgT,NA
abrB,NA
accA,1.54
accB,2.17
accC,0.94
accD,1.32
aceA,1.79
aceB,0.62
aceE,1.49
aceF,1.62
aceK,0.04
ackA,2.47
acnA,1.04
acnB,1.59
acpH,1.04
acpP,2.95
acpS,0.56
acpT,0.72
acrA,1.18
acrB,0.63
acrD,0.59
acrE,NA
acrF,0.1
acrR,1.08
acs,1.83
actP,0.22
ada,0.16
add,2.32
ade,2.04
adhE,1.9
adhP,NA
adiA,NA
adiC,NA
adiY,NA
adk,3.35
adrA,NA
adrB,NA
aegA,NA
aer,NA
aes,NA
afuC,NA
agaB,NA
agaC,NA
agaD,NA
agaI,NA
agaR,0.55
agaS,NA
agaV,NA
agp,NA
ahpC,3.89
ahpF,1.97
aidB,NA
ais,NA
alaA,1.67
alaC,1.93
alaS,1.3
aldA,1.51
aldB,NA
alkA,NA
alkB,NA
allA,NA
allB,NA
allC,NA
allD,NA
allR,1.54
allS,NA
alpA,NA
alr,0.49
alsA,NA
alsB,NA
alsC,NA
alsE,NA
alsK,NA
alx,0.8
amiA,0.81
amiB,0.38
amiC,0.46
amiD,0.41
amn,1.74
ampC,1.97
ampD,1.09
ampE,0.46
ampG,0.24
ampH,1.23
amtB,NA
amyA,NA
anmK,0.96
ansA,1.43
ansB,NA
ansP,0.82
apaG,0.06
apaH,1.05
apbE,0.59
aphA,1.77
appA,NA
appB,NA
appC,NA
appY,0.52
apt,2.46
aqpZ,NA
araA,NA
araB,NA
araC,0.52
araD,NA
araE,0.13
araF,NA
araG,NA
araH,NA
araJ,0.28
arcA,1.56
arcB,0.61
argA,NA
argB,0.82
argC,0.45
argD,1.13
argE,1.43
argF,1.62
argG,2.36
argH,1.31
argI,NA
argK,NA
argO,1.16
argP,1.86
argR,1.53
argS,1.93
argT,1.16
ariR,NA
arnA,0.64
arnB,0.82
arnC,NA
arnD,NA
arnE,NA
arnF,NA
arnT,NA
aroA,1.24
aroB,0.13
aroC,0.75
aroD,2.59
aroE,0.62
aroF,0.64
aroG,2.5
aroH,1.42
aroK,1.31
aroL,0.45
aroM,0.72
aroP,0.73
arpA,NA
arrD,NA
arrQ,NA
arsB,0.5
arsC,NA
arsR,NA
artI,2
artJ,2.94
artM,0.49
artP,1.07
artQ,0.46
ascB,NA
ascF,NA
ascG,0.93
asd,2.07
aslA,NA
aslB,NA
asmA,0.25
asnA,1.83
asnB,2.23
asnC,2.49
asnS,1.87
aspA,0.73
aspC,2.48
aspS,1.75
asr,NA
astA,NA
astB,NA
astC,NA
astD,NA
astE,NA
atoA,NA
atoB,NA
atoC,NA
atoD,NA
atoE,NA
atoS,NA
atpA,0.87
atpB,0.48
atpC,0.45
atpD,1.08
atpE,2.11
atpF,0.44
atpG,0.4
atpH,0.24
atpI,0.02
avtA,1.26
azoR,4.28
azuC,1.72
bacA,1.19
baeR,1.55
baeS,NA
bamA,0.79
bamB,0.76
bamC,0.6
bamD,1.9
bamE,1.25
barA,0.49
basR,1.08
basS,0.6
bax,0.49
bcp,2.73
bcr,0.3
bcsA,0.1
bcsB,0.83
bcsC,0.3
bcsE,0.48
bcsF,NA
bcsG,0.7
bcsZ,0.39
bdm,NA
betA,0.69
betB,0.95
betI,0.1
betT,0.33
bfd,NA
bfr,0.74
bglA,2.24
bglB,NA
bglF,NA
bglG,NA
bglH,NA
bglJ,NA
bglX,1.05
bhsA,4.39
bioA,1.43
bioB,1.98
bioC,0.34
bioD,1.66
bioF,0.4
bioH,1.43
birA,0.6
bisC,0.63
blc,NA
blr,0.83
bolA,1.59
borD,2.02
brnQ,1.1
bsmA,NA
bssR,NA
bssS,0.11
btuB,1.4
btuC,0.25
btuD,0.31
btuE,0.98
btuF,0.31
btuR,0.78
cadA,NA
cadB,NA
cadC,NA
caiA,0.38
caiB,NA
caiC,NA
caiD,NA
caiE,NA
caiF,NA
caiT,NA
can,1.69
carA,1.06
carB,1.48
casA,NA
casB,NA
casC,NA
casD,NA
casE,NA
cbl,NA
cbpA,1.77
cbpM,1.27
cbrA,NA
cbrB,NA
cbrC,NA
cca,0.47
ccmA,NA
ccmB,NA
ccmC,0.63
ccmD,NA
ccmE,0.62
ccmF,0.23
ccmG,NA
ccmH,0.43
cdaR,NA
cdd,1.47
cdh,1.01
cdsA,0.27
cedA,NA
cfa,1.2
chaA,0.73
chaB,NA
chaC,NA
chbA,NA
chbB,NA
chbC,NA
chbF,NA
chbG,NA
chbR,NA
cheA,NA
cheB,NA
cheR,NA
cheW,NA
cheY,NA
cheZ,NA
chiA,0.74
chiP,NA
chiQ,NA
cho,NA
chpB,0.29
chpS,NA
cirA,0.78
citC,NA
citD,NA
citE,NA
citF,NA
citG,NA
citT,NA
citX,NA
clcA,0.39
clcB,NA
cld,1.16
clpA,0.7
clpB,1.11
clpP,1.26
clpS,0.5
clpX,0.94
cls,0.56
cmk,0.37
cmoA,1.16
cmoB,0.85
cmtA,NA
cmtB,NA
cnu,2
coaA,1.18
coaD,1.06
coaE,0.27
cobB,1.31
cobC,0.16
cobS,0.9
cobT,0.55
cobU,0.32
codA,1.54
codB,0.8
cof,0.31
cohE,0.8
copA,0.52
corA,0.74
cpdA,0.21
cpdB,1.87
cpsB,NA
cpsG,NA
cpxA,0.33
cpxP,0.27
cpxR,1.48
crcB,1.79
creA,1.57
creB,0.25
creC,0.2
creD,NA
crl,2.16
croE,NA
crp,1.45
crr,1.91
csdA,0.54
csdE,1.29
csdL,1.02
csgA,NA
csgB,NA
csgC,NA
csgD,NA
csgE,NA
csgF,NA
csgG,NA
csiD,NA
csiE,NA
csiR,NA
cspA,2.12
cspB,NA
cspC,3.26
cspD,0.75
cspE,2.06
cspF,NA
cspG,NA
cspH,NA
cspI,NA
csrA,1.9
csrD,0.2
cstA,0.59
cueO,2.27
cueR,1.53
cusA,NA
cusB,NA
cusC,NA
cusF,NA
cusR,0.57
cusS,0.48
cutA,0.35
cutC,1.08
cvpA,0.22
cvrA,0.39
cyaA,0.19
cyaY,2.49
cybB,2.04
cycA,0.99
cydA,0.85
cydB,0.74
cydC,0.56
cydD,0.7
cynR,1.1
cynS,NA
cynT,NA
cynX,NA
cyoA,0.66
cyoB,0.66
cyoC,0.71
cyoD,0.74
cyoE,0.21
cysA,NA
cysB,2.03
cysC,NA
cysD,NA
cysE,0.67
cysG,0.63
cysH,NA
cysI,NA
cysJ,NA
cysK,1.97
cysM,1.49
cysN,NA
cysP,NA
cysQ,1.5
cysS,1.98
cysU,NA
cysW,NA
cysZ,1.55
cytR,0.41
dacA,1.54
dacB,0.94
dacC,1.79
dacD,NA
dadA,1.09
dadX,0.72
dam,0.17
damX,0.87
dapA,0.99
dapB,1.76
dapD,3.24
dapE,1.1
dapF,0.32
dbpA,1.14
dcd,0.47
dcm,0.68
dcp,2.17
dcrB,1.85
dctA,0.53
dctR,NA
dcuA,0.87
dcuB,NA
dcuC,NA
dcuD,NA
dcuR,1.02
dcuS,0.2
dcyD,1.48
ddlA,1.9
ddlB,0.48
ddpA,NA
ddpB,NA
ddpC,NA
ddpD,NA
ddpF,NA
ddpX,NA
deaD,1.47
dedA,0.61
dedD,0.6
def,1.08
degP,2.55
degQ,1.34
degS,0.64
deoA,0.96
deoB,1.14
deoC,3.08
deoD,2.93
deoR,0.66
der,1.34
dfp,0.65
dgkA,1.62
dgoA,NA
dgoD,NA
dgoK,NA
dgoR,2.34
dgoT,NA
dgsA,0.29
dgt,0.55
dhaK,0.42
dhaL,0.6
dhaM,0.97
dhaR,0.31
diaA,0.41
dicA,1.13
dicB,NA
dicC,NA
dinB,0.3
dinD,NA
dinF,0.35
dinG,0.32
dinI,1.13
dinJ,1.21
dinQ,0
djlA,0.93
djlB,NA
djlC,NA
dkgA,NA
dkgB,2.03
dksA,2.31
dld,1.98
dmlA,NA
dmlR,NA
dmsA,NA
dmsB,NA
dmsC,NA
dmsD,1.6
dnaA,0.35
dnaB,0.36
dnaC,0.76
dnaE,0.19
dnaG,0.11
dnaJ,1.05
dnaK,2.28
dnaN,0.7
dnaQ,1.18
dnaT,1.03
dnaXgamma,0.24
dnaXtau,0.14
dosC,NA
dosP,NA
dpiA,NA
dpiB,0.05
dppA,1.53
dppB,0.49
dppC,0.55
dppD,0.7
dppF,0.94
dps,3.05
dsbA,2.35
dsbB,1.09
dsbC,1.9
dsbD,1.01
dsbG,2.48
dsdA,2.39
dsdC,1.04
dsdX,NA
dsrB,2.03
dtd,1.54
dtpA,1.04
dtpB,0.96
dtpD,0.67
dusA,1.46
dusB,0.02
dusC,0.4
dut,1.56
dxr,0.71
dxs,0.6
eamA,0.38
eamB,NA
ebgA,NA
ebgC,NA
ebgR,0.99
ecnA,0.24
ecnB,0.55
eco,4.94
ecpD,NA
eda,2.84
edd,0.31
efeB,0.53
efeO,2.21
efp,2.14
elaA,1.86
elaB,2.13
elaD,NA
elbB,1.92
elfA,NA
elfC,NA
elfD,NA
elfG,NA
emrA,0.82
emrB,0.24
emrD,0.85
emrE,0.81
emrK,NA
emrY,NA
emtA,1.45
endA,NA
eno,2.44
entA,NA
entB,NA
entC,NA
entD,NA
entE,NA
entF,0.66
entH,NA
entS,0.67
envC,0.18
envR,NA
envY,NA
envZ,0.26
epd,0.24
eptA,0.81
eptB,0.43
era,0.82
erfK,0.43
erpA,2.17
essD,NA
essQ,NA
etk,0.58
etp,NA
eutA,NA
eutB,0.87
eutC,0.83
eutD,NA
eutE,NA
eutG,NA
eutH,NA
eutJ,NA
eutK,0.29
eutL,1.25
eutM,NA
eutN,NA
eutP,NA
eutQ,NA
eutR,NA
eutS,NA
eutT,NA
evgA,0.99
evgS,0.6
exbB,1.16
exbD,0.55
exoX,1.11
exuR,0.81
exuT,NA
fabA,2.02
fabB,1.76
fabD,1.28
fabF,0.8
fabG,0.96
fabH,0.78
fabI,2.66
fabR,0.43
fabZ,1.92
fadA,NA
fadB,NA
fadD,1.07
fadE,0.33
fadH,NA
fadI,NA
fadJ,0.34
fadK,NA
fadL,1.7
fadM,NA
fadR,1.93
fbaA,2.31
fbaB,NA
fbp,1.55
fcl,NA
fdhD,1.13
fdhE,1.28
fdhF,0.02
fdnG,0.04
fdnH,NA
fdnI,NA
fdoG,0.12
fdoH,0.24
fdoI,0.18
fdrA,NA
