gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3
aaeA,3387148,3386216,ECK3230,b3241,3.4,1.7,0.5,5.0,1.8,0.4,5.1,9.9,1.9
aaeB,3386210,3384243,ECK3229,b3240,5.0,1.8,0.4,3.8,0.9,0.2,5.7,3.1,0.6
aaeR,3387542,3388471,ECK3232,b3243,38.7,42.3,1.1,38.2,31.5,0.8,32.9,33.1,1.0
aaeX,3387359,3387156,ECK3231,b3242,2.2,2.9,1.3,4.6,0.0,0.0,0.0,0.0,#DIV/0!
aas,2974036,2971877,ECK2832,b2836,47.9,36.1,0.8,58.5,31.0,0.5,45.7,26.2,0.6
aat,926655,925951,ECK0876,b0885,33.2,10.2,0.3,35.8,17.8,0.5,24.3,16.0,0.7
abgA,1402589,1401279,ECK1334,b1338,1.0,3.4,3.3,0.0,3.2,#DIV/0!,1.8,0.0,0.0
abgB,1401279,1399834,ECK1333,b1337,1.2,1.8,1.4,1.9,1.2,0.6,1.1,2.8,2.6
abgR,1402765,1403673,ECK1335,b1339,9.9,8.1,0.8,7.2,7.4,1.0,3.5,1.1,0.3
abgT,1399797,1398271,ECK1332,b1336,2.7,0.8,0.3,1.2,0.5,0.4,3.1,1.3,0.4
abrB,746992,745946,ECK0704,b0715,52.4,29.4,0.6,8.9,4.8,0.5,4.9,13.7,2.8
accA,208621,209580,ECK0184,b0185,617.1,876.3,1.4,710.2,1062.8,1.5,725.7,723.6,1.0
accB,3403458,3403928,ECK3242,b3255,1168.1,1739.9,1.5,1501.2,2502.1,1.7,1373.7,1989.6,1.4
accC,3403939,3405288,ECK3243,b3256,1345.6,1056.8,0.8,1563.7,1141.4,0.7,1507.3,989.5,0.7
accD,2431948,2431034,ECK2310,b2316,686.8,561.1,0.8,961.9,911.1,0.9,989.6,802.9,0.8
aceA,4215132,4216436,ECK4007,b4015,165.8,411.8,2.5,125.4,266.2,2.1,130.4,200.0,1.5
aceB,4213501,4215102,ECK4006,b4014,127.2,106.5,0.8,89.3,57.5,0.6,101.3,50.7,0.5
aceE,123017,125680,ECK0113,b0114,3504.3,6310.9,1.8,2512.0,3302.8,1.3,3306.5,3068.3,0.9
aceF,125695,127587,ECK0114,b0115,3498.8,4502.3,1.3,2450.1,2730.3,1.1,3214.7,2671.1,0.8
aceK,4216619,4218355,ECK4008,b4016,29.3,3.8,0.1,29.1,1.4,0.0,25.4,6.5,0.3
ackA,2411492,2412694,ECK2290,b2296,1021.6,2575.2,2.5,851.3,1934.9,2.3,671.0,1574.2,2.3
acnA,1333855,1336530,ECK1271,b1276,28.7,40.5,1.4,33.6,31.0,0.9,29.9,25.3,0.8
acnB,131615,134212,ECK0117,b0118,627.0,1117.0,1.8,699.9,974.9,1.4,568.9,842.8,1.5
acpH,424142,423561,ECK0398,b0404,7.7,19.4,2.5,3.2,24.4,7.6,20.5,21.2,1.0
