gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3,TE_n_nonmissing,TE_mean,TE_all_missing
aaeA,3387148.0,3386216.0,ECK3230,b3241,3.4,1.7,0.5,5.0,1.8,0.4,5.1,9.9,1.9,3,0.9333333333333332,False
aaeB,3386210.0,3384243.0,ECK3229,b3240,5.0,1.8,0.4,3.8,0.9,0.2,5.7,3.1,0.6,3,0.4000000000000001,False
aaeR,3387542.0,3388471.0,ECK3232,b3243,38.7,42.3,1.1,38.2,31.5,0.8,32.9,33.1,1.0,3,0.9666666666666668,False
aaeX,3387359.0,3387156.0,ECK3231,b3242,2.2,2.9,1.3,4.6,0.0,0.0,0.0,0.0,,2,0.65,False
aas,2974036.0,2971877.0,ECK2832,b2836,47.9,36.1,0.8,58.5,31.0,0.5,45.7,26.2,0.6,3,0.6333333333333333,False
aat,926655.0,925951.0,ECK0876,b0885,33.2,10.2,0.3,35.8,17.8,0.5,24.3,16.0,0.7,3,0.5,False
abgA,1402589.0,1401279.0,ECK1334,b1338,1.0,3.4,3.3,0.0,3.2,,1.8,0.0,0.0,2,1.65,False
abgB,1401279.0,1399834.0,ECK1333,b1337,1.2,1.8,1.4,1.9,1.2,0.6,1.1,2.8,2.6,3,1.5333333333333332,False
abgR,1402765.0,1403673.0,ECK1335,b1339,9.9,8.1,0.8,7.2,7.4,1.0,3.5,1.1,0.3,3,0.7000000000000001,False
abgT,1399797.0,1398271.0,ECK1332,b1336,2.7,0.8,0.3,1.2,0.5,0.4,3.1,1.3,0.4,3,0.3666666666666667,False
abrB,746992.0,745946.0,ECK0704,b0715,52.4,29.4,0.6,8.9,4.8,0.5,4.9,13.7,2.8,3,1.3,False
accA,208621.0,209580.0,ECK0184,b0185,617.1,876.3,1.4,710.2,1062.8,1.5,725.7,723.6,1.0,3,1.3,False
accB,3403458.0,3403928.0,ECK3242,b3255,1168.1,1739.9,1.5,1501.2,2502.1,1.7,1373.7,1989.6,1.4,3,1.5333333333333332,False
accC,3403939.0,3405288.0,ECK3243,b3256,1345.6,1056.8,0.8,1563.7,1141.4,0.7,1507.3,989.5,0.7,3,0.7333333333333334,False
accD,2431948.0,2431034.0,ECK2310,b2316,686.8,561.1,0.8,961.9,911.1,0.9,989.6,802.9,0.8,3,0.8333333333333334,False
aceA,4215132.0,4216436.0,ECK4007,b4015,165.8,411.8,2.5,125.4,266.2,2.1,130.4,200.0,1.5,3,2.033333333333333,False
aceB,4213501.0,4215102.0,ECK4006,b4014,127.2,106.5,0.8,89.3,57.5,0.6,101.3,50.7,0.5,3,0.6333333333333333,False
aceE,123017.0,125680.0,ECK0113,b0114,3504.3,6310.9,1.8,2512.0,3302.8,1.3,3306.5,3068.3,0.9,3,1.3333333333333333,False
aceF,125695.0,127587.0,ECK0114,b0115,3498.8,4502.3,1.3,2450.1,2730.3,1.1,3214.7,2671.1,0.8,3,1.0666666666666667,False
aceK,4216619.0,4218355.0,ECK4008,b4016,29.3,3.8,0.1,29.1,1.4,0.0,25.4,6.5,0.3,3,0.13333333333333333,False
ackA,2411492.0,2412694.0,ECK2290,b2296,1021.6,2575.2,2.5,851.3,1934.9,2.3,671.0,1574.2,2.3,3,2.3666666666666667,False
acnA,1333855.0,1336530.0,ECK1271,b1276,28.7,40.5,1.4,33.6,31.0,0.9,29.9,25.3,0.8,3,1.0333333333333332,False
acnB,131615.0,134212.0,ECK0117,b0118,627.0,1117.0,1.8,699.9,974.9,1.4,568.9,842.8,1.5,3,1.5666666666666667,False
acpH,424142.0,423561.0,ECK0398,b0404,7.7,19.4,2.5,3.2,24.4,7.6,20.5,21.2,1.0,3,3.6999999999999997,False
acpP,1150838.0,1151074.0,ECK1080,b1094,11487.4,29606.2,2.6,11772.1,37364.9,3.2,16785.7,36067.5,2.1,3,2.6333333333333333,False
acpS,2699020.0,2698640.0,ECK2561,b2563,112.2,28.1,0.3,81.0,39.5,0.5,103.3,43.2,0.4,3,0.4000000000000001,False
acpT,3610992.0,3611579.0,ECK3459,b3475,33.7,42.7,1.3,93.8,68.3,0.7,51.4,61.2,1.2,3,1.0666666666666667,False
acrA,484843.0,483650.0,ECK0457,b0463,221.9,260.6,1.2,282.0,319.7,1.1,346.7,264.2,0.8,3,1.0333333333333332,False
acrB,483627.0,480478.0,ECK0456,b0462,232.5,115.7,0.5,273.5,106.8,0.4,332.3,170.9,0.5,3,0.4666666666666666,False
acrD,2585617.0,2588730.0,ECK2465,b2470,7.7,4.3,0.6,11.4,4.8,0.4,9.4,10.2,1.1,3,0.7000000000000001,False
acrE,3411886.0,3413043.0,ECK3252,b3265,0.8,0.7,0.9,3.2,0.0,0.0,0.7,0.0,0.0,3,0.3,False
acrF,3413055.0,3416159.0,ECK3253,b3266,5.4,1.4,0.3,5.1,1.3,0.3,7.6,1.3,0.2,3,0.26666666666666666,False
acrR,484985.0,485632.0,ECK0458,b0464,23.6,27.0,1.1,43.3,33.6,0.8,37.4,36.5,1.0,3,0.9666666666666668,False
acrZ,793996.0,794145.0,ECK0751,b0762,395.9,890.4,2.2,330.5,1015.6,3.1,633.6,1185.1,1.9,3,2.4000000000000004,False
acs,4285394.0,4283436.0,ECK4062,b4069,5.3,10.0,1.9,3.3,12.0,3.6,6.5,11.0,1.7,3,2.4,False
actP,4282925.0,4281276.0,ECK4060,b4067,3.5,1.7,0.5,7.4,2.5,0.3,3.4,1.9,0.6,3,0.4666666666666666,False
ada,2308427.0,2307363.0,ECK2205,b2213,20.3,5.9,0.3,23.7,5.5,0.2,20.5,10.6,0.5,3,0.3333333333333333,False
add,1700257.0,1701258.0,ECK1618,b1623,59.7,172.9,2.9,42.9,74.3,1.7,23.4,74.9,3.2,3,2.6,False
adeD,3841987.0,3843753.0,ECK3656,b3665,17.6,39.0,2.2,20.6,33.2,1.6,15.1,29.7,2.0,3,1.9333333333333336,False
adeP,3894632.0,3893295.0,ECK3707,b3714,146.3,122.2,0.8,276.1,259.0,0.9,279.7,345.6,1.2,3,0.9666666666666668,False
adeQ,3841812.0,3840478.0,ECK3655,b3664,1.7,0.0,0.0,3.5,0.6,0.2,1.5,1.5,1.0,3,0.39999999999999997,False
adhE,1297344.0,1294669.0,ECK1235,b1241,383.6,1064.9,2.8,192.6,321.5,1.7,129.9,245.4,1.9,3,2.1333333333333333,False
adhP,1551862.0,1550852.0,ECK1472,b1478,14.2,14.8,1.0,15.7,10.8,0.7,14.9,10.2,0.7,3,0.7999999999999999,False
adiA,4338544.0,4336277.0,ECK4110,b4117,3.6,1.8,0.5,2.1,0.7,0.4,1.6,2.3,1.4,3,0.7666666666666666,False
adiC,4335054.0,4333717.0,ECK4108,b4115,3.0,1.5,0.5,2.1,1.9,0.9,3.0,0.8,0.3,3,0.5666666666666667,False
adiY,4335952.0,4335191.0,ECK4109,b4116,10.6,28.1,2.6,1.2,1.1,0.9,0.0,8.1,,2,1.75,False
adk,496399.0,497043.0,ECK0468,b0474,816.7,2134.4,2.6,922.2,2324.1,2.5,989.5,1881.4,1.9,3,2.3333333333333335,False
adrA,402927.0,404042.0,ECK0380,b0385,3.2,1.2,0.4,5.9,0.8,0.1,1.4,0.0,0.0,3,0.16666666666666666,False
aegA,2583547.0,2581568.0,ECK2463,b2468,18.9,21.6,1.1,6.6,2.1,0.3,4.6,6.2,1.3,3,0.9,False
aer,3217098.0,3215578.0,ECK3062,b3072,36.7,27.8,0.8,57.8,30.3,0.5,71.4,37.8,0.5,3,0.6,False
aes,499197.0,498238.0,ECK0470,b0476,3.3,4.7,1.4,1.9,1.7,0.9,0.4,0.0,0.0,3,0.7666666666666666,False
